RESUMEN DEL INVENTARIO							
Corte de datos: 14 de junio de 2026 · Archivum Parfums							
							
Presentaciones		Perfumes únicos		Marcas		Precio promedio	
2686		2661		163		₡26 153	
							
							
Estado de datos	Cantidad	Tipo de producto	Cantidad		Público	Cantidad	
Ficha verificada	1121	Perfumes	2399		Hombre	854	
Pendiente	1278	Otros formatos	287		Mujer	1097	
No aplica	287				Unisex	735	
							
							
Top 10 marcas	Presentaciones						
Lattafa	215						
Armaf	186						
Perry Ellis	70						
Carolina Herrera	61						
Maison Alhambra	61						
Paco Rabanne	56						
Dolce & Gabbana	51						
Marca no indicada	48						
Versace	47						
Calvin Klein	46						
							
							
							
							
							
